"TITOLO","EPISODIO","DATA","TIPO","LIKE","COMMENTI","CONDIVISIONI","VISUALIZZAZIONI (per i video)","ASHTAG"
"Serie 1",,01/09/15,"FOTO",2100,74,103,,"#TGIT #HowDoYouTGIT"
"Serie 1",,01/09/15,"FOTO",156000,3289,6426,,"#GreysAnatomy"
"Serie 1",,02/09/15,"VIDEO",39000,929,2790,,"#TGIT #GreysAnatomy"
"Serie 1",,03/09/15,"FOTO",162000,4548,5862,,"#TGIT #GreysAnatomy"
"Serie 1",,04/09/15,"FOTO",78000,819,1075,,"#TGIT #GreysAnatomy"
"Serie 1",,05/09/15,"FOTO",12000,384,795,,"#TGIT #GreysAnatomy"
"Serie 1",,06/09/15,"FOTO",61000,280,372,,"#TGIT #GreysAnatomy"
"Serie 1",,07/09/15,"FOTO",37000,647,2663,,"#TGIT"
"Serie 1",,07/09/15,"FOTO",77000,954,1586,,"#GreysAnatomy"
"Serie 1",,08/09/15,"VIDEO",7300,136,266,262000,"#TGIT #GreysAnatomy"
"Serie 1",,09/09/15,"FOTO",77000,935,1171,,"#GreysAnatomy"
"Serie 1",,09/09/15,"VIDEO",22000,458,1870,680000,"#TGIT #HowDoYouTGIT #GreysAnatomy"
"Serie 1",,10/09/15,"FOTO",129000,4543,15303,,"#TGIT #GreysAnatomy"
"Serie 1",,10/09/15,"FOTO",64000,338,637,,"#GreysAnatomy"
"Serie 1",,11/09/15,"VIDEO",7000,261,464,331000,"#TGIT #HowDoYouTGIT"
"Serie 1",,12/09/15,"FOTO",13000,119,462,,"#TGIT #HowDoYouTGIT"
"Serie 1",,15/09/15,"FOTO",35000,313,444,,"#HowDoYouTGIT #GreysAnatomy"
"Serie 1",,16/09/15,"FOTO",157000,1560,3672,,"#GreysAnatomy #GreysAnatomy250"
"Serie 1",,16/09/15,"FOTO",59000,1700,3790,,"#TGIT #GreysAnatomy"
"Serie 1",,17/09/15,"FOTO",101000,739,1125,,"#HowDoYouTGIT #GreysAnatomy"
"Serie 1",,17/09/15,"VIDEO",130000,11244,36462,3900000,"#TGIT #GreysAnatomy"
"Serie 1",,17/09/15,"LINK",7500,42,78,," #GreysAnatomy #TGIT"
"Serie 1",,17/09/15,"FOTO",91000,1822,7121,," #GreysAnatomy #TGIT"
"Serie 1",,17/09/15,"LINK",14000,180,191,,"#GreysAnatomy"
"Serie 1",,17/09/15,"VIDEO",6800,363,719,,"#TGIT #GreysAnatomy"
